chr,pos,H,A,NA,valid_count,h_ratio
1,1,62,53,4,115,0.539
1,2,63,56,0,119,0.529
1,3,65,54,0,119,0.546
1,4,65,54,0,119,0.546
1,5,66,52,1,118,0.559
1,6,66,53,0,119,0.555
1,7,66,53,0,119,0.555
1,8,64,54,1,118,0.542
1,9,64,54,1,118,0.542
1,10,63,56,0,119,0.529
1,11,62,57,0,119,0.521
1,12,61,58,0,119,0.513
1,13,62,57,0,119,0.521
1,14,61,57,1,118,0.517
1,15,61,57,1,118,0.517
1,16,63,56,0,119,0.529
1,17,63,56,0,119,0.529
1,18,64,54,1,118,0.542
1,19,63,56,0,119,0.529
1,20,62,57,0,119,0.521
1,21,57,61,1,118,0.483
1,22,57,62,0,119,0.479
1,23,60,58,1,118,0.508
1,24,60,59,0,119,0.504
1,25,60,59,0,119,0.504
1,26,58,61,0,119,0.487
1,27,59,60,0,119,0.496
1,28,59,60,0,119,0.496
1,29,59,60,0,119,0.496
1,31,18,42,59,60,0.3
1,32,59,60,0,119,0.496
1,33,59,59,1,118,0.5
1,34,62,57,0,119,0.521
1,35,61,58,0,119,0.513
1,36,58,61,0,119,0.487
1,37,57,61,1,118,0.483
1,38,57,62,0,119,0.479
1,39,54,64,1,118,0.458
1,40,54,64,1,118,0.458
1,41,53,66,0,119,0.445
1,42,51,67,1,118,0.432
1,43,50,68,1,118,0.424
1,44,50,69,0,119,0.42
1,45,50,68,1,118,0.424
1,46,50,68,1,118,0.424
1,47,49,69,1,118,0.415
1,48,46,71,2,117,0.393
1,49,47,72,0,119,0.395
1,50,47,72,0,119,0.395
1,51,43,76,0,119,0.361
1,52,42,77,0,119,0.353
1,53,42,77,0,119,0.353
1,54,42,77,0,119,0.353
1,55,41,77,1,118,0.347
1,56,43,76,0,119,0.361
1,57,41,73,5,114,0.36
1,58,41,77,1,118,0.347
1,59,42,77,0,119,0.353
1,60,41,78,0,119,0.345
1,61,43,75,1,118,0.364
2,1,61,58,0,119,0.513
2,2,61,58,0,119,0.513
2,3,62,57,0,119,0.521
2,4,62,56,1,118,0.525
2,5,62,55,2,117,0.53
2,6,64,55,0,119,0.538
2,7,64,55,0,119,0.538
2,8,64,55,0,119,0.538
2,9,64,55,0,119,0.538
2,10,64,55,0,119,0.538
2,11,65,53,1,118,0.551
2,12,66,52,1,118,0.559
2,13,66,53,0,119,0.555
2,14,64,53,2,117,0.547
2,15,63,54,2,117,0.538
2,16,61,58,0,119,0.513
2,17,61,58,0,119,0.513
2,18,62,57,0,119,0.521
2,19,62,56,1,118,0.525
2,20,62,56,1,118,0.525
2,21,63,56,0,119,0.529
2,22,65,54,0,119,0.546
2,23,64,55,0,119,0.538
2,24,65,54,0,119,0.546
2,25,64,53,2,117,0.547
2,26,63,56,0,119,0.529
2,27,64,55,0,119,0.538
2,28,64,55,0,119,0.538
2,29,63,56,0,119,0.529
2,30,63,56,0,119,0.529
2,31,62,56,1,118,0.525
2,32,62,57,0,119,0.521
2,33,63,56,0,119,0.529
2,34,61,53,5,114,0.535
2,35,64,55,0,119,0.538
2,36,63,56,0,119,0.529
2,37,63,56,0,119,0.529
2,38,63,56,0,119,0.529
2,39,64,54,1,118,0.542
2,40,63,56,0,119,0.529
3,1,58,60,1,118,0.492
3,2,58,60,1,118,0.492
3,3,57,62,0,119,0.479
3,4,58,60,1,118,0.492
3,5,58,61,0,119,0.487
3,6,59,60,0,119,0.496
3,7,59,60,0,119,0.496
3,8,60,59,0,119,0.504
3,9,60,59,0,119,0.504
3,10,60,57,2,117,0.513
3,11,61,58,0,119,0.513
3,12,62,57,0,119,0.521
3,13,64,55,0,119,0.538
3,14,63,55,1,118,0.534
3,15,64,55,0,119,0.538
3,16,65,53,1,118,0.551
3,17,67,52,0,119,0.563
3,18,66,52,1,118,0.559
3,19,67,51,1,118,0.568
3,20,71,48,0,119,0.597
3,21,71,48,0,119,0.597
3,22,70,46,3,116,0.603
3,23,73,44,2,117,0.624
3,24,74,43,2,117,0.632
3,25,75,44,0,119,0.63
3,26,75,38,6,113,0.664
3,27,74,44,1,118,0.627
3,28,75,44,0,119,0.63
3,29,75,44,0,119,0.63
3,30,75,44,0,119,0.63
3,31,74,45,0,119,0.622
3,32,73,46,0,119,0.613
3,33,72,47,0,119,0.605
3,34,67,52,0,119,0.563
3,35,66,53,0,119,0.555
3,36,68,50,1,118,0.576
3,37,68,51,0,119,0.571
3,38,65,54,0,119,0.546
3,39,66,53,0,119,0.555
3,40,67,50,2,117,0.573
3,41,69,50,0,119,0.58
3,42,68,50,1,118,0.576
3,43,69,50,0,119,0.58
3,44,69,50,0,119,0.58
3,45,70,49,0,119,0.588
3,46,72,47,0,119,0.605
3,47,73,46,0,119,0.613
4,1,49,68,2,117,0.419
4,2,48,70,1,118,0.407
4,3,48,70,1,118,0.407
4,4,49,70,0,119,0.412
4,5,49,70,0,119,0.412
4,6,49,69,1,118,0.415
4,7,50,69,0,119,0.42
4,8,50,69,0,119,0.42
4,9,50,69,0,119,0.42
4,10,50,69,0,119,0.42
4,11,52,67,0,119,0.437
4,12,51,63,5,114,0.447
4,13,55,63,1,118,0.466
4,14,56,63,0,119,0.471
4,15,57,62,0,119,0.479
4,16,58,57,4,115,0.504
4,17,62,56,1,118,0.525
