chr,pos,H,A,NA,valid_count,h_ratio
1,1,101,96,3,197,0.513
1,2,103,95,2,198,0.52
1,3,105,94,1,199,0.528
1,4,106,93,1,199,0.533
1,5,106,93,1,199,0.533
1,6,107,93,0,200,0.535
1,7,107,93,0,200,0.535
1,8,106,94,0,200,0.53
1,9,106,93,1,199,0.533
1,10,105,95,0,200,0.525
1,11,105,95,0,200,0.525
1,12,105,95,0,200,0.525
1,13,106,94,0,200,0.53
1,14,107,93,0,200,0.535
1,15,106,94,0,200,0.53
1,16,105,95,0,200,0.525
1,17,105,95,0,200,0.525
1,18,103,97,0,200,0.515
1,19,103,97,0,200,0.515
1,20,102,98,0,200,0.51
1,21,102,98,0,200,0.51
1,22,102,98,0,200,0.51
1,23,101,99,0,200,0.505
1,24,100,99,1,199,0.503
1,25,100,100,0,200,0.5
1,26,100,100,0,200,0.5
1,27,99,100,1,199,0.497
1,28,99,101,0,200,0.495
1,29,99,101,0,200,0.495
1,31,30,63,107,93,0.323
1,32,99,100,1,199,0.497
1,33,99,101,0,200,0.495
1,34,99,101,0,200,0.495
1,35,99,101,0,200,0.495
1,36,100,99,1,199,0.503
1,37,100,100,0,200,0.5
1,38,99,101,0,200,0.495
1,39,99,100,1,199,0.497
1,40,97,101,2,198,0.49
1,41,98,102,0,200,0.49
1,42,97,103,0,200,0.485
1,43,97,103,0,200,0.485
1,44,97,103,0,200,0.485
1,45,97,103,0,200,0.485
1,46,97,103,0,200,0.485
1,47,96,104,0,200,0.48
1,48,95,105,0,200,0.475
1,49,95,105,0,200,0.475
1,50,94,105,1,199,0.472
1,51,93,107,0,200,0.465
1,52,91,109,0,200,0.455
1,53,89,111,0,200,0.445
1,54,90,110,0,200,0.45
1,55,91,109,0,200,0.455
1,56,91,107,2,198,0.46
1,57,91,108,1,199,0.457
1,58,92,106,2,198,0.465
1,59,89,109,2,198,0.449
1,60,92,108,0,200,0.46
1,61,93,105,2,198,0.47
2,1,96,104,0,200,0.48
2,2,97,98,5,195,0.497
2,3,100,98,2,198,0.505
2,4,100,100,0,200,0.5
2,5,98,102,0,200,0.49
2,6,98,102,0,200,0.49
2,7,98,102,0,200,0.49
2,8,98,102,0,200,0.49
2,9,98,102,0,200,0.49
2,10,98,102,0,200,0.49
2,11,98,102,0,200,0.49
2,12,97,103,0,200,0.485
2,13,97,103,0,200,0.485
2,14,97,102,1,199,0.487
2,15,100,100,0,200,0.5
2,16,98,102,0,200,0.49
2,17,95,103,2,198,0.48
2,18,97,103,0,200,0.485
2,19,97,103,0,200,0.485
2,20,101,99,0,200,0.505
2,21,100,100,0,200,0.5
2,22,101,99,0,200,0.505
2,23,100,99,1,199,0.503
2,24,101,99,0,200,0.505
2,25,99,101,0,200,0.495
2,26,99,101,0,200,0.495
2,27,97,103,0,200,0.485
2,28,97,103,0,200,0.485
2,29,98,102,0,200,0.49
2,30,97,101,2,198,0.49
2,31,97,102,1,199,0.487
2,32,96,104,0,200,0.48
2,33,95,104,1,199,0.477
2,34,95,103,2,198,0.48
2,35,96,101,3,197,0.487
2,36,94,106,0,200,0.47
2,37,95,105,0,200,0.475
2,38,94,106,0,200,0.47
2,39,92,102,6,194,0.474
2,40,98,102,0,200,0.49
3,1,101,99,0,200,0.505
3,2,98,101,1,199,0.492
3,3,97,100,3,197,0.492
3,4,101,96,3,197,0.513
3,5,102,98,0,200,0.51
3,6,104,95,1,199,0.523
3,7,104,95,1,199,0.523
3,8,105,94,1,199,0.528
3,9,105,94,1,199,0.528
3,10,106,94,0,200,0.53
3,11,104,96,0,200,0.52
3,12,104,96,0,200,0.52
3,13,104,96,0,200,0.52
3,14,104,96,0,200,0.52
3,15,103,97,0,200,0.515
3,16,103,97,0,200,0.515
3,17,101,99,0,200,0.505
3,18,102,98,0,200,0.51
3,19,102,97,1,199,0.513
3,20,106,94,0,200,0.53
3,21,105,95,0,200,0.525
3,22,105,94,1,199,0.528
3,23,106,94,0,200,0.53
3,24,106,94,0,200,0.53
3,25,106,94,0,200,0.53
3,26,106,84,10,190,0.558
3,27,105,94,1,199,0.528
3,28,105,94,1,199,0.528
3,29,106,94,0,200,0.53
3,30,106,94,0,200,0.53
3,31,106,94,0,200,0.53
3,32,106,94,0,200,0.53
3,33,106,94,0,200,0.53
3,34,105,95,0,200,0.525
3,35,104,96,0,200,0.52
3,36,104,96,0,200,0.52
3,37,104,96,0,200,0.52
3,38,105,95,0,200,0.525
3,39,104,96,0,200,0.52
3,40,104,96,0,200,0.52
3,41,104,95,1,199,0.523
3,42,102,97,1,199,0.513
3,43,102,98,0,200,0.51
3,44,104,96,0,200,0.52
3,45,104,96,0,200,0.52
3,46,100,98,2,198,0.505
3,47,98,100,2,198,0.495
4,1,113,87,0,200,0.565
4,2,110,86,4,196,0.561
4,3,110,88,2,198,0.556
4,4,111,89,0,200,0.555
4,5,111,89,0,200,0.555
4,6,111,89,0,200,0.555
4,7,111,89,0,200,0.555
4,8,111,89,0,200,0.555
4,9,111,89,0,200,0.555
4,10,111,89,0,200,0.555
4,11,111,89,0,200,0.555
4,12,112,88,0,200,0.56
4,13,111,89,0,200,0.555
4,14,113,87,0,200,0.565
4,15,113,87,0,200,0.565
4,16,115,84,1,199,0.578
4,17,115,85,0,200,0.575
4,18,112,88,0,200,0.56
4,19,110,90,0,200,0.55
4,20,110,90,0,200,0.55
4,21,110,87,3,197,0.558
4,22,111,88,1,199,0.558
4,23,114,86,0,200,0.57
4,24,113,87,0,200,0.565
4,25,112,87,1,199,0.563
4,26,111,89,0,200,0.555
4,27,111,89,0,200,0.555
4,28,112,88,0,200,0.56
4,29,112,88,0,200,0.56
4,30,113,85,2,198,0.571
4,31,113,87,0,200,0.565
4,32,110,90,0,200,0.55
4,33,111,89,0,200,0.555
4,34,109,90,1,199,0.548
4,35,108,90,2,198,0.545
4,36,106,92,2,198,0.535
4,37,103,97,0,200,0.515
4,38,97,99,4,196,0.495
5,1,104,95,1,199,0.523
5,2,100,98,2,198,0.505
5,3,99,99,2,198,0.5
5,4,100,100,0,200,0.5
5,5,98,100,2,198,0.495
5,6,99,101,0,200,0.495
5,7,95,104,1,199,0.477
5,8,95,105,0,200,0.475
5,9,96,104,0,200,0.48
5,10,95,104,1,199,0.477
5,11,95,105,0,200,0.475
5,12,94,104,2,198,0.475
5,13,96,103,1,199,0.482
5,14,95,105,0,200,0.475
5,15,96,104,0,200,0.48
5,16,94,106,0,200,0.47
5,17,96,103,1,199,0.482
5,18,97,103,0,200,0.485
5,19,96,102,2,198,0.485
5,20,97,103,0,200,0.485
5,21,98,102,0,200,0.49
5,22,98,102,0,200,0.49
5,23,97,103,0,200,0.485
5,24,97,103,0,200,0.485
5,25,97,103,0,200,0.485
5,26,97,103,0,200,0.485
5,27,97,103,0,200,0.485
5,28,97,103,0,200,0.485
5,29,97,103,0,200,0.485
5,30,97,103,0,200,0.485
5,31,97,103,0,200,0.485
5,32,97,103,0,200,0.485
5,33,96,103,1,199,0.482
5,34,97,103,0,200,0.485
5,35,97,103,0,200,0.485
5,36,98,102,0,200,0.49
5,37,98,102,0,200,0.49
5,38,96,104,0,200,0.48
5,39,95,103,2,198,0.48
5,40,96,104,0,200,0.48
5,41,96,104,0,200,0.48
5,42,96,104,0,200,0.48
5,43,97,103,0,200,0.485
5,44,94,106,0,200,0.47
5,45,92,107,1,199,0.462
5,46,93,106,1,199,0.467
5,47,92,108,0,200,0.46
5,48,90,109,1,199,0.452
5,49,90,110,0,200,0.45
5,50,91,108,1,199,0.457
5,51,95,105,0,200,0.475
5,52,96,103,1,199,0.482
5,53,96,102,2,198,0.485
5,54,99,96,5,195,0.508
