chr,pos,H,A,NA,valid_count,h_ratio,p_value
1,1,68,78,0,146,0.466,0.45648223496512574
1,2,69,76,1,145,0.476,0.6184454660388145
1,3,69,76,1,145,0.476,0.6184454660388145
1,4,65,78,3,143,0.455,0.31562489744334127
1,5,66,80,0,146,0.452,0.2819365341298733
1,6,63,82,1,145,0.434,0.13468540318097638
1,7,65,81,0,146,0.445,0.21431491737771177
1,8,64,82,0,146,0.438,0.15921582224632175
1,9,65,81,0,146,0.445,0.21431491737771177
1,10,64,81,1,145,0.441,0.18374624131166653
1,11,62,84,0,146,0.425,0.08186174437673059
1,12,61,85,0,146,0.418,0.056603269970333596
1,13,60,86,0,146,0.411,0.038179441579785325
1,14,62,84,0,146,0.425,0.08186174437673059
1,15,62,83,1,145,0.428,0.09639401732287696
1,16,64,80,2,144,0.444,0.21115264054329358
1,17,64,82,0,146,0.438,0.15921582224632175
1,18,62,84,0,146,0.425,0.08186174437673059
1,19,62,84,0,146,0.425,0.08186174437673059
1,20,62,84,0,146,0.425,0.08186174437673059
1,21,63,83,0,146,0.432,0.11553971025192701
1,22,63,83,0,146,0.432,0.11553971025192701
1,23,63,83,0,146,0.432,0.11553971025192701
1,24,63,83,0,146,0.432,0.11553971025192701
1,25,64,81,1,145,0.441,0.18374624131166653
1,26,65,81,0,146,0.445,0.21431491737771177
1,27,65,81,0,146,0.445,0.21431491737771177
1,28,64,81,1,145,0.441,0.18374624131166653
1,29,64,82,0,146,0.438,0.15921582224632175
1,31,26,61,59,87,,0.0002236893560948182
1,32,64,82,0,146,0.438,0.15921582224632175
1,33,64,82,0,146,0.438,0.15921582224632175
1,34,64,82,0,146,0.438,0.15921582224632175
1,35,64,82,0,146,0.438,0.15921582224632175
1,36,65,80,1,145,0.448,0.24488359344375712
1,37,65,81,0,146,0.445,0.21431491737771177
1,38,67,79,0,146,0.459,0.36267876308767727
1,39,66,80,0,146,0.452,0.2819365341298733
1,40,66,80,0,146,0.452,0.2819365341298733
1,41,64,81,1,145,0.441,0.18374624131166653
1,42,66,80,0,146,0.452,0.2819365341298733
1,43,66,80,0,146,0.452,0.2819365341298733
1,44,66,80,0,146,0.452,0.2819365341298733
1,45,66,80,0,146,0.452,0.2819365341298733
1,46,66,77,3,143,0.462,0.40310390913216987
1,47,64,81,1,145,0.441,0.18374624131166653
1,48,65,80,1,145,0.448,0.24488359344375712
1,49,66,80,0,146,0.452,0.2819365341298733
1,50,67,79,0,146,0.459,0.36267876308767727
1,51,69,77,0,146,0.473,0.5625209423048497
1,52,67,79,0,146,0.459,0.36267876308767727
1,53,68,78,0,146,0.466,0.45648223496512574
1,54,71,75,0,146,0.486,0.8040203645137733
1,55,70,75,1,145,0.483,0.7398815747182798
1,56,69,76,1,145,0.476,0.6184454660388145
1,57,67,77,2,144,0.465,0.45337169943097466
1,58,70,76,0,146,0.479,0.6791635203785475
1,59,68,77,1,145,0.469,0.5065964185708862
1,60,70,76,0,146,0.479,0.6791635203785475
1,61,71,75,0,146,0.486,0.8040203645137733
2,1,70,76,0,146,0.479,0.6791635203785475
2,2,73,73,0,146,0.5,1.0
2,3,79,65,2,144,0.549,0.27861454634422145
2,4,79,67,0,146,0.541,0.36267876308767727
2,5,79,66,1,145,0.545,0.3189894748159891
2,6,80,66,0,146,0.548,0.2819365341298733
2,7,80,66,0,146,0.548,0.2819365341298733
2,8,80,66,0,146,0.548,0.2819365341298733
2,9,80,66,0,146,0.548,0.2819365341298733
2,10,80,66,0,146,0.548,0.2819365341298733
2,11,80,66,0,146,0.548,0.2819365341298733
2,12,79,67,0,146,0.541,0.36267876308767727
2,13,79,67,0,146,0.541,0.36267876308767727
2,14,79,66,1,145,0.545,0.3189894748159891
2,15,73,72,1,145,0.503,1.0
2,16,74,72,0,146,0.507,0.9340795771546334
2,17,74,71,1,145,0.51,0.8681591543092659
2,18,79,67,0,146,0.541,0.36267876308767727
2,19,77,69,0,146,0.527,0.5625209423048497
2,20,75,70,1,145,0.517,0.7398815747182798
2,21,73,72,1,145,0.503,1.0
2,22,73,73,0,146,0.5,1.0
2,23,71,74,1,145,0.49,0.8681591543092659
2,24,73,73,0,146,0.5,1.0
2,25,76,70,0,146,0.521,0.6791635203785475
2,26,76,70,0,146,0.521,0.6791635203785475
2,27,75,70,1,145,0.517,0.7398815747182798
2,28,73,72,1,145,0.503,1.0
2,29,76,70,0,146,0.521,0.6791635203785475
2,30,76,70,0,146,0.521,0.6791635203785475
2,31,76,70,0,146,0.521,0.6791635203785475
2,32,75,71,0,146,0.514,0.8040203645137733
2,33,75,68,3,143,0.524,0.6160027856918145
2,34,77,69,0,146,0.527,0.5625209423048497
2,35,76,69,1,145,0.524,0.6184454660388145
2,36,77,68,1,145,0.531,0.5065964185708862
2,37,75,71,0,146,0.514,0.8040203645137733
2,38,76,70,0,146,0.521,0.6791635203785475
2,39,76,69,1,145,0.524,0.6184454660388145
2,40,75,71,0,146,0.514,0.8040203645137733
3,1,76,70,0,146,0.521,0.6791635203785475
3,2,76,67,3,143,0.531,0.5036394897297809
3,3,76,70,0,146,0.521,0.6791635203785475
3,4,71,75,0,146,0.486,0.8040203645137733
3,5,70,76,0,146,0.479,0.6791635203785475
3,6,67,78,1,145,0.462,0.40636805135936543
3,7,67,79,0,146,0.459,0.36267876308767727
3,8,66,79,1,145,0.455,0.3189894748159891
3,9,66,80,0,146,0.452,0.2819365341298733
3,10,68,77,1,145,0.469,0.5065964185708862
3,11,65,80,1,145,0.448,0.24488359344375712
3,12,65,81,0,146,0.445,0.21431491737771177
3,13,64,81,1,145,0.441,0.18374624131166653
3,14,65,80,1,145,0.448,0.24488359344375712
3,15,66,80,0,146,0.452,0.2819365341298733
3,16,66,80,0,146,0.452,0.2819365341298733
3,17,63,83,0,146,0.432,0.11553971025192701
3,18,62,84,0,146,0.425,0.08186174437673059
3,19,62,84,0,146,0.425,0.08186174437673059
3,20,60,86,0,146,0.411,0.038179441579785325
