chr,pos,H,A,NA,valid_count,h_ratio,p_value
1,1,85,83,8,168,0.506,0.9385334053887999
1,2,89,86,1,175,0.509,0.8798851146775633
1,3,90,86,0,176,0.511,0.8211772774694054
1,4,89,87,0,176,0.506,0.9399425573387807
1,5,88,88,0,176,0.5,1.0
1,6,88,87,1,175,0.503,1.0
1,7,89,87,0,176,0.506,0.9399425573387807
1,8,88,87,1,175,0.503,1.0
1,9,89,85,2,174,0.511,0.8201708574029797
1,10,90,85,1,175,0.514,0.7624694402612479
1,11,91,85,0,176,0.517,0.7063708402623409
1,12,91,85,0,176,0.517,0.7063708402623409
1,13,91,85,0,176,0.517,0.7063708402623409
1,14,91,85,0,176,0.517,0.7063708402623409
1,15,91,85,0,176,0.517,0.7063708402623409
1,16,91,85,0,176,0.517,0.7063708402623409
1,17,91,85,0,176,0.517,0.7063708402623409
1,18,91,85,0,176,0.517,0.7063708402623409
1,19,92,84,0,176,0.523,0.597872449055666
1,20,92,84,0,176,0.523,0.597872449055666
1,21,92,84,0,176,0.523,0.597872449055666
1,22,92,84,0,176,0.523,0.597872449055666
1,23,91,85,0,176,0.517,0.7063708402623409
1,24,90,86,0,176,0.511,0.8211772774694054
1,25,90,86,0,176,0.511,0.8211772774694054
1,26,89,87,0,176,0.506,0.9399425573387807
1,27,89,87,0,176,0.506,0.9399425573387807
1,28,89,87,0,176,0.506,0.9399425573387807
1,29,88,87,1,175,0.503,1.0
1,31,22,51,103,73,,0.0009142745821630902
1,32,89,87,0,176,0.506,0.9399425573387807
1,33,89,87,0,176,0.506,0.9399425573387807
1,34,89,86,1,175,0.509,0.8798851146775633
1,35,90,86,0,176,0.511,0.8211772774694054
1,36,90,86,0,176,0.511,0.8211772774694054
1,37,88,87,1,175,0.503,1.0
1,38,90,86,0,176,0.511,0.8211772774694054
1,39,91,85,0,176,0.517,0.7063708402623409
1,40,92,84,0,176,0.523,0.597872449055666
1,41,89,86,1,175,0.509,0.8798851146775633
1,42,87,89,0,176,0.494,0.9399425573387807
1,43,88,88,0,176,0.5,1.0
1,44,88,88,0,176,0.5,1.0
1,45,90,86,0,176,0.511,0.8211772774694054
