chr,pos,H,A,NA,valid_count,h_ratio,p_value
1,1,64,89,2,153,0.418,0.051988852826861894
1,2,71,83,1,154,0.461,0.37545688817317885
1,3,72,82,1,154,0.468,0.4684207778527701
1,4,71,83,1,154,0.461,0.37545688817317885
1,5,71,82,2,153,0.464,0.4189205249064943
1,6,69,86,0,155,0.445,0.19858360530805072
1,7,72,83,0,155,0.465,0.4219388330129731
1,8,74,80,1,154,0.481,0.6871492187686531
1,9,73,82,0,155,0.471,0.5206333734262384
1,10,74,79,2,153,0.484,0.7465275303369366
1,11,77,77,1,154,0.5,1.0
1,12,77,77,1,154,0.5,1.0
1,13,79,76,0,155,0.51,0.8724408026046268
1,14,79,76,0,155,0.51,0.8724408026046268
1,15,80,74,1,154,0.519,0.6871492187686531
1,16,77,76,2,153,0.503,1.0
1,17,75,78,2,153,0.49,0.8716178400407862
1,18,74,80,1,154,0.481,0.6871492187686531
1,19,76,78,1,154,0.494,0.9358089200203937
1,20,75,79,1,154,0.487,0.8090726851888606
1,21,76,79,0,155,0.49,0.8724408026046268
1,22,75,80,0,155,0.484,0.748110951978756
1,23,74,81,0,155,0.477,0.6299975938841784
1,24,74,81,0,155,0.477,0.6299975938841784
1,25,73,80,2,153,0.477,0.6277709072003689
1,26,74,81,0,155,0.477,0.6299975938841784
1,27,74,81,0,155,0.477,0.6299975938841784
1,28,74,81,0,155,0.477,0.6299975938841784
1,29,74,81,0,155,0.477,0.6299975938841784
1,31,23,51,81,74,,0.0015162236642818601
1,32,74,80,1,154,0.481,0.6871492187686531
1,33,74,81,0,155,0.477,0.6299975938841784
1,34,74,81,0,155,0.477,0.6299975938841784
1,35,73,82,0,155,0.471,0.5206333734262384
1,36,72,81,2,153,0.471,0.5179210307990446
1,37,73,82,0,155,0.471,0.5206333734262384
1,38,73,82,0,155,0.471,0.5206333734262384
1,39,72,83,0,155,0.465,0.4219388330129731
1,40,72,83,0,155,0.465,0.4219388330129731
1,41,72,83,0,155,0.465,0.4219388330129731
1,42,71,84,0,155,0.458,0.3351352010832354
1,43,71,84,0,155,0.458,0.3351352010832354
1,44,70,84,1,154,0.455,0.29481351399329214
1,45,71,84,0,155,0.458,0.3351352010832354
1,46,70,85,0,155,0.452,0.2607320880006022
1,47,70,85,0,155,0.452,0.2607320880006022
1,48,68,87,0,155,0.439,0.14799763102341476
1,49,68,86,1,154,0.442,0.1705165486081881
1,50,69,86,0,155,0.445,0.19858360530805072
1,51,67,86,2,153,0.438,0.14536554974727234
1,52,66,89,0,155,0.426,0.07687597125332367
1,53,66,89,0,155,0.426,0.07687597125332367
1,54,67,88,0,155,0.432,0.10787772038387615
1,55,65,89,1,154,0.422,0.06347521517753665
1,56,65,90,0,155,0.419,0.05353757584043604
1,57,66,87,2,153,0.431,0.10559187713001053
1,58,70,83,2,153,0.458,0.33199325143986363
1,59,77,77,1,154,0.5,1.0
1,60,84,71,0,155,0.542,0.3351352010832354
1,61,85,68,2,153,0.556,0.19566754746910364
2,1,90,62,3,152,0.592,0.02819284181764288
2,2,83,66,6,149,0.557,0.1897585579067378
2,3,83,71,1,154,0.539,0.37545688817317885
2,4,82,73,0,155,0.529,0.5206333734262384
2,5,82,73,0,155,0.529,0.5206333734262384
2,6,82,73,0,155,0.529,0.5206333734262384
2,7,82,73,0,155,0.529,0.5206333734262384
2,8,82,73,0,155,0.529,0.5206333734262384
2,9,82,73,0,155,0.529,0.5206333734262384
2,10,82,73,0,155,0.529,0.5206333734262384
2,11,82,73,0,155,0.529,0.5206333734262384
2,12,82,73,0,155,0.529,0.5206333734262384
2,13,83,72,0,155,0.535,0.4219388330129731
2,14,83,72,0,155,0.535,0.4219388330129731
2,15,83,72,0,155,0.535,0.4219388330129731
2,16,82,72,1,154,0.532,0.4684207778527701
2,17,81,74,0,155,0.523,0.6299975938841784
2,18,81,74,0,155,0.523,0.6299975938841784
2,19,84,71,0,155,0.542,0.3351352010832354
2,20,80,75,0,155,0.516,0.748110951978756
2,21,77,77,1,154,0.5,1.0
2,22,76,77,2,153,0.497,1.0
2,23,77,78,0,155,0.497,1.0
2,24,76,79,0,155,0.49,0.8724408026046268
2,25,76,77,2,153,0.497,1.0
2,26,78,77,0,155,0.503,1.0
2,27,76,75,4,151,0.503,1.0
2,28,79,75,1,154,0.513,0.8090726851888606
2,29,78,75,2,153,0.51,0.8716178400407862
2,30,78,77,0,155,0.503,1.0
2,31,79,75,1,154,0.513,0.8090726851888606
2,32,78,76,1,154,0.506,0.9358089200203937
2,33,77,77,1,154,0.5,1.0
2,34,78,74,3,152,0.513,0.8078463096035289
2,35,77,77,1,154,0.5,1.0
2,36,77,78,0,155,0.497,1.0
2,37,75,79,1,154,0.487,0.8090726851888606
2,38,76,78,1,154,0.494,0.9358089200203937
2,39,73,81,1,154,0.474,0.5728459689997074
2,40,72,82,1,154,0.468,0.4684207778527701
3,1,85,70,0,155,0.548,0.2607320880006022
3,2,82,71,2,153,0.536,0.4189205249064943
3,3,79,74,2,153,0.516,0.7465275303369366
3,4,73,80,2,153,0.477,0.6277709072003689
3,5,75,80,0,155,0.484,0.748110951978756
3,6,75,80,0,155,0.484,0.748110951978756
3,7,75,79,1,154,0.487,0.8090726851888606
3,8,74,81,0,155,0.477,0.6299975938841784
3,9,73,82,0,155,0.471,0.5206333734262384
3,10,73,82,0,155,0.471,0.5206333734262384
3,11,69,86,0,155,0.445,0.19858360530805072
3,12,71,83,1,154,0.461,0.37545688817317885
