chr,pos,H,A,NA,valid_count,h_ratio,p_value
1,1,101,96,3,197,0.513,0.7757387167068795
1,2,103,95,2,198,0.52,0.618970998833298
1,3,105,94,1,199,0.528,0.4784912009825469
1,4,106,93,1,199,0.533,0.39501577812011107
1,5,106,93,1,199,0.533,0.39501577812011107
1,6,107,93,0,200,0.535,0.3580030906245022
1,7,107,93,0,200,0.535,0.3580030906245022
1,8,106,94,0,200,0.53,0.4367534895513286
1,9,106,93,1,199,0.533,0.39501577812011107
1,10,105,95,0,200,0.525,0.5246223557223155
1,11,105,95,0,200,0.525,0.5246223557223155
1,12,105,95,0,200,0.525,0.5246223557223155
1,13,106,94,0,200,0.53,0.4367534895513286
1,14,107,93,0,200,0.535,0.3580030906245022
1,15,106,94,0,200,0.53,0.4367534895513286
1,16,105,95,0,200,0.525,0.5246223557223155
1,17,105,95,0,200,0.525,0.5246223557223155
1,18,103,97,0,200,0.515,0.7237710263128071
1,19,103,97,0,200,0.515,0.7237710263128071
1,20,102,98,0,200,0.51,0.8320703744377604
1,21,102,98,0,200,0.51,0.8320703744377604
1,22,102,98,0,200,0.51,0.8320703744377604
1,23,101,99,0,200,0.505,0.9436515209907435
1,24,100,99,1,199,0.503,1.0
1,25,100,100,0,200,0.5,1.0
1,26,100,100,0,200,0.5,1.0
1,27,99,100,1,199,0.497,1.0
1,28,99,101,0,200,0.495,0.9436515209907435
1,29,99,101,0,200,0.495,0.9436515209907435
1,31,30,63,107,93,,0.0008100087738623599
1,32,99,100,1,199,0.497,1.0
1,33,99,101,0,200,0.495,0.9436515209907435
1,34,99,101,0,200,0.495,0.9436515209907435
1,35,99,101,0,200,0.495,0.9436515209907435
1,36,100,99,1,199,0.503,1.0
1,37,100,100,0,200,0.5,1.0
1,38,99,101,0,200,0.495,0.9436515209907435
1,39,99,100,1,199,0.497,1.0
1,40,97,101,2,198,0.49,0.8312377211582064
1,41,98,102,0,200,0.49,0.8320703744377604
1,42,97,103,0,200,0.485,0.7237710263128071
1,43,97,103,0,200,0.485,0.7237710263128071
1,44,97,103,0,200,0.485,0.7237710263128071
1,45,97,103,0,200,0.485,0.7237710263128071
1,46,97,103,0,200,0.485,0.7237710263128071
1,47,96,104,0,200,0.48,0.6207289280968303
1,48,95,105,0,200,0.475,0.5246223557223155
1,49,95,105,0,200,0.475,0.5246223557223155
1,50,94,105,1,199,0.472,0.4784912009825469
1,51,93,107,0,200,0.465,0.3580030906245022
1,52,91,109,0,200,0.455,0.22924659725971622
1,53,89,111,0,200,0.445,0.13736665086863079
1,54,90,110,0,200,0.45,0.17896403953325155
1,55,91,109,0,200,0.455,0.22924659725971622
1,56,91,107,2,198,0.46,0.28639562989179196
1,57,91,108,1,199,0.457,0.2566505912206386
1,58,92,106,2,198,0.465,0.35558517636599557
1,59,89,109,2,198,0.449,0.17677965404809923
1,60,92,108,0,200,0.46,0.2888204971747663
1,61,93,105,2,198,0.47,0.43444637987422635
2,1,96,104,0,200,0.48,0.6207289280968303
2,2,97,98,5,195,0.497,1.0
2,3,100,98,2,198,0.505,0.9433683628047678
2,4,100,100,0,200,0.5,1.0
2,5,98,102,0,200,0.49,0.8320703744377604
2,6,98,102,0,200,0.49,0.8320703744377604
2,7,98,102,0,200,0.49,0.8320703744377604
2,8,98,102,0,200,0.49,0.8320703744377604
2,9,98,102,0,200,0.49,0.8320703744377604
2,10,98,102,0,200,0.49,0.8320703744377604
2,11,98,102,0,200,0.49,0.8320703744377604
2,12,97,103,0,200,0.485,0.7237710263128071
2,13,97,103,0,200,0.485,0.7237710263128071
2,14,97,102,1,199,0.487,0.7768377068940344
2,15,100,100,0,200,0.5,1.0
2,16,98,102,0,200,0.49,0.8320703744377604
2,17,95,103,2,198,0.48,0.618970998833298
2,18,97,103,0,200,0.485,0.7237710263128071
2,19,97,103,0,200,0.485,0.7237710263128071
2,20,101,99,0,200,0.505,0.9436515209907435
2,21,100,100,0,200,0.5,1.0
2,22,101,99,0,200,0.505,0.9436515209907435
2,23,100,99,1,199,0.503,1.0
2,24,101,99,0,200,0.505,0.9436515209907435
2,25,99,101,0,200,0.495,0.9436515209907435
2,26,99,101,0,200,0.495,0.9436515209907435
2,27,97,103,0,200,0.485,0.7237710263128071
2,28,97,103,0,200,0.485,0.7237710263128071
2,29,98,102,0,200,0.49,0.8320703744377604
2,30,97,101,2,198,0.49,0.8312377211582064
2,31,97,102,1,199,0.487,0.7768377068940344
2,32,96,104,0,200,0.48,0.6207289280968303
2,33,95,104,1,199,0.477,0.5707535104620824
2,34,95,103,2,198,0.48,0.618970998833298
2,35,96,101,3,197,0.487,0.7757387167068795
2,36,94,106,0,200,0.47,0.4367534895513286
2,37,95,105,0,200,0.475,0.5246223557223155
2,38,94,106,0,200,0.47,0.4367534895513286
2,39,92,102,6,194,0.474,0.5182802738139709
2,40,98,102,0,200,0.49,0.8320703744377604
3,1,101,99,0,200,0.505,0.9436515209907435
3,2,98,101,1,199,0.492,0.8873030419814874
3,3,97,100,3,197,0.492,0.8867367256095352
3,4,101,96,3,197,0.513,0.7757387167068795
3,5,102,98,0,200,0.51,0.8320703744377604
3,6,104,95,1,199,0.523,0.5707535104620824
3,7,104,95,1,199,0.523,0.5707535104620824
3,8,105,94,1,199,0.528,0.4784912009825469
3,9,105,94,1,199,0.528,0.4784912009825469
3,10,106,94,0,200,0.53,0.4367534895513286
3,11,104,96,0,200,0.52,0.6207289280968303
3,12,104,96,0,200,0.52,0.6207289280968303
3,13,104,96,0,200,0.52,0.6207289280968303
3,14,104,96,0,200,0.52,0.6207289280968303
3,15,103,97,0,200,0.515,0.7237710263128071
3,16,103,97,0,200,0.515,0.7237710263128071
3,17,101,99,0,200,0.505,0.9436515209907435
3,18,102,98,0,200,0.51,0.8320703744377604
3,19,102,97,1,199,0.513,0.7768377068940344
3,20,106,94,0,200,0.53,0.4367534895513286
3,21,105,95,0,200,0.525,0.5246223557223155
3,22,105,94,1,199,0.528,0.4784912009825469
3,23,106,94,0,200,0.53,0.4367534895513286
3,24,106,94,0,200,0.53,0.4367534895513286
3,25,106,94,0,200,0.53,0.4367534895513286
3,26,106,84,10,190,0.558,0.1274131384280197
3,27,105,94,1,199,0.528,0.4784912009825469
3,28,105,94,1,199,0.528,0.4784912009825469
3,29,106,94,0,200,0.53,0.4367534895513286
3,30,106,94,0,200,0.53,0.4367534895513286
3,31,106,94,0,200,0.53,0.4367534895513286
3,32,106,94,0,200,0.53,0.4367534895513286
3,33,106,94,0,200,0.53,0.4367534895513286
3,34,105,95,0,200,0.525,0.5246223557223155
3,35,104,96,0,200,0.52,0.6207289280968303
3,36,104,96,0,200,0.52,0.6207289280968303
3,37,104,96,0,200,0.52,0.6207289280968303
3,38,105,95,0,200,0.525,0.5246223557223155
3,39,104,96,0,200,0.52,0.6207289280968303
3,40,104,96,0,200,0.52,0.6207289280968303
3,41,104,95,1,199,0.523,0.5707535104620824
3,42,102,97,1,199,0.513,0.7768377068940344
3,43,102,98,0,200,0.51,0.8320703744377604
3,44,104,96,0,200,0.52,0.6207289280968303
3,45,104,96,0,200,0.52,0.6207289280968303
3,46,100,98,2,198,0.505,0.9433683628047678
3,47,98,100,2,198,0.495,0.9433683628047678
4,1,113,87,0,200,0.565,0.07683763213126037
4,2,110,86,4,196,0.561,0.10016673529821774
4,3,110,88,2,198,0.556,0.13539129748732068
