chr,pos,H,A,NA,valid_count,h_ratio,p_value
1,1,53,63,1,116,0.457,0.40346969965531143
1,2,53,64,0,117,0.453,0.3552796816522475
1,3,54,63,0,117,0.462,0.45969138732555354
1,4,54,63,0,117,0.462,0.45969138732555354
1,5,55,62,0,117,0.47,0.5792902501877029
1,6,55,62,0,117,0.47,0.5792902501877029
1,7,56,61,0,117,0.479,0.7117032769279406
1,8,56,61,0,117,0.479,0.7117032769279406
1,9,56,61,0,117,0.479,0.7117032769279406
1,10,57,60,0,117,0.487,0.8534084458955625
1,11,59,58,0,117,0.504,1.0
1,12,58,59,0,117,0.496,1.0
1,13,58,59,0,117,0.496,1.0
1,14,59,58,0,117,0.504,1.0
1,15,58,59,0,117,0.496,1.0
1,16,61,54,2,115,0.53,0.5760121204363976
1,17,61,56,0,117,0.521,0.7117032769279406
1,18,63,54,0,117,0.538,0.45969138732555354
1,19,63,54,0,117,0.538,0.45969138732555354
1,20,63,54,0,117,0.538,0.45969138732555354
1,21,63,54,0,117,0.538,0.45969138732555354
1,22,62,55,0,117,0.53,0.5792902501877029
1,23,61,56,0,117,0.521,0.7117032769279406
1,24,61,56,0,117,0.521,0.7117032769279406
1,25,63,54,0,117,0.538,0.45969138732555354
1,26,65,52,0,117,0.556,0.26718230499039597
1,27,65,52,0,117,0.556,0.26718230499039597
1,28,63,53,1,116,0.543,0.40346969965531143
1,29,64,53,0,117,0.547,0.3552796816522475
1,31,38,44,35,82,,0.581114454176647
1,32,64,53,0,117,0.547,0.3552796816522475
1,33,64,53,0,117,0.547,0.3552796816522475
1,34,64,53,0,117,0.547,0.3552796816522475
1,35,63,52,2,115,0.548,0.3511253697554321
1,36,66,51,0,117,0.564,0.19534905940457842
1,37,68,48,1,116,0.586,0.07726226461070651
1,38,70,47,0,117,0.598,0.041500788707988095
1,39,70,47,0,117,0.598,0.041500788707988095
1,40,69,48,0,117,0.59,0.06399591064679504
1,41,69,48,0,117,0.59,0.06399591064679504
1,42,70,47,0,117,0.598,0.041500788707988095
1,43,70,47,0,117,0.598,0.041500788707988095
1,44,68,49,0,117,0.581,0.09567271500960481
1,45,66,50,1,116,0.569,0.16342317247754862
1,46,67,49,1,116,0.578,0.11408316540850279
1,47,67,48,2,115,0.583,0.09281592098218967
1,48,67,50,0,117,0.573,0.13875316894302567
1,49,67,50,0,117,0.573,0.13875316894302567
1,50,64,53,0,117,0.547,0.3552796816522475
1,51,63,53,1,116,0.543,0.40346969965531143
1,52,63,53,1,116,0.543,0.40346969965531143
1,53,63,53,1,116,0.543,0.40346969965531143
1,54,64,53,0,117,0.547,0.3552796816522475
1,55,63,53,1,116,0.543,0.40346969965531143
1,56,64,53,0,117,0.547,0.3552796816522475
1,57,64,53,0,117,0.547,0.3552796816522475
1,58,64,53,0,117,0.547,0.3552796816522475
1,59,64,51,2,115,0.557,0.26305395754293537
1,60,66,51,0,117,0.564,0.19534905940457842
1,61,65,51,1,116,0.56,0.22727494633160858
2,1,59,54,4,113,0.522,0.7068822614919525
2,2,60,57,0,117,0.513,0.8534084458955625
2,3,57,60,0,117,0.487,0.8534084458955625
2,4,54,62,1,116,0.466,0.5159130749957945
2,5,52,64,1,116,0.448,0.30708966364918366
2,6,52,65,0,117,0.444,0.26718230499039597
2,7,52,64,1,116,0.448,0.30708966364918366
2,8,52,65,0,117,0.444,0.26718230499039597
2,9,52,65,0,117,0.444,0.26718230499039597
2,10,51,65,1,116,0.44,0.22727494633160858
2,11,52,65,0,117,0.444,0.26718230499039597
2,12,52,65,0,117,0.444,0.26718230499039597
2,13,51,66,0,117,0.436,0.19534905940457842
2,14,48,69,0,117,0.41,0.06399591064679504
2,15,47,70,0,117,0.402,0.041500788707988095
2,16,47,70,0,117,0.402,0.041500788707988095
2,17,50,67,0,117,0.427,0.13875316894302567
2,18,49,68,0,117,0.419,0.09567271500960481
2,19,49,68,0,117,0.419,0.09567271500960481
2,20,51,66,0,117,0.436,0.19534905940457842
2,21,51,66,0,117,0.436,0.19534905940457842
2,22,51,66,0,117,0.436,0.19534905940457842
2,23,54,63,0,117,0.462,0.45969138732555354
2,24,54,63,0,117,0.462,0.45969138732555354
2,25,54,60,3,114,0.474,0.63976936864295
2,26,57,60,0,117,0.487,0.8534084458955625
2,27,58,59,0,117,0.496,1.0
2,28,58,59,0,117,0.496,1.0
2,29,58,59,0,117,0.496,1.0
2,30,58,59,0,117,0.496,1.0
2,31,57,59,1,116,0.491,0.9260777633148565
2,32,58,59,0,117,0.496,1.0
2,33,59,58,0,117,0.504,1.0
2,34,59,57,1,116,0.509,0.9260777633148565
2,35,60,57,0,117,0.513,0.8534084458955625
2,36,60,57,0,117,0.513,0.8534084458955625
2,37,59,58,0,117,0.504,1.0
2,38,59,58,0,117,0.504,1.0
2,39,58,59,0,117,0.496,1.0
2,40,57,60,0,117,0.487,0.8534084458955625
3,1,56,61,0,117,0.479,0.7117032769279406
3,2,55,61,1,116,0.474,0.6426674253796113
3,3,55,62,0,117,0.47,0.5792902501877029
3,4,55,61,1,116,0.474,0.6426674253796113
3,5,56,61,0,117,0.479,0.7117032769279406
3,6,55,61,1,116,0.474,0.6426674253796113
3,7,54,62,1,116,0.466,0.5159130749957945
3,8,54,63,0,117,0.462,0.45969138732555354
3,9,53,64,0,117,0.453,0.3552796816522475
3,10,53,64,0,117,0.453,0.3552796816522475
3,11,53,64,0,117,0.453,0.3552796816522475
3,12,53,64,0,117,0.453,0.3552796816522475
3,13,54,63,0,117,0.462,0.45969138732555354
3,14,53,64,0,117,0.453,0.3552796816522475
3,15,53,63,1,116,0.457,0.40346969965531143
3,16,54,62,1,116,0.466,0.5159130749957945
3,17,57,60,0,117,0.487,0.8534084458955625
3,18,59,58,0,117,0.504,1.0
3,19,59,58,0,117,0.504,1.0
3,20,56,60,1,116,0.483,0.7807391284762681
3,21,55,62,0,117,0.47,0.5792902501877029
3,22,52,65,0,117,0.444,0.26718230499039597
3,23,51,65,1,116,0.44,0.22727494633160858
3,24,52,61,4,113,0.46,0.4518532686657418
3,25,55,62,0,117,0.47,0.5792902501877029
3,26,55,52,10,107,0.514,0.846802075189195
3,27,55,62,0,117,0.47,0.5792902501877029
3,28,55,62,0,117,0.47,0.5792902501877029
3,29,55,61,1,116,0.474,0.6426674253796113
3,30,55,62,0,117,0.47,0.5792902501877029
3,31,55,61,1,116,0.474,0.6426674253796113
3,32,57,59,1,116,0.491,0.9260777633148565
3,33,61,56,0,117,0.521,0.7117032769279406
3,34,60,57,0,117,0.513,0.8534084458955625
3,35,58,59,0,117,0.496,1.0
3,36,58,59,0,117,0.496,1.0
3,37,58,59,0,117,0.496,1.0
3,38,59,58,0,117,0.504,1.0
3,39,57,60,0,117,0.487,0.8534084458955625
3,40,56,60,1,116,0.483,0.7807391284762681
3,41,56,61,0,117,0.479,0.7117032769279406
3,42,56,61,0,117,0.479,0.7117032769279406
3,43,57,59,1,116,0.491,0.9260777633148565
3,44,58,59,0,117,0.496,1.0
3,45,59,58,0,117,0.504,1.0
3,46,61,56,0,117,0.521,0.7117032769279406
3,47,61,56,0,117,0.521,0.7117032769279406
4,1,69,48,0,117,0.59,0.06399591064679504
4,2,69,48,0,117,0.59,0.06399591064679504
4,3,69,48,0,117,0.59,0.06399591064679504
4,4,67,50,0,117,0.573,0.13875316894302567
4,5,67,50,0,117,0.573,0.13875316894302567
4,6,67,50,0,117,0.573,0.13875316894302567
4,7,67,50,0,117,0.573,0.13875316894302567
4,8,67,50,0,117,0.573,0.13875316894302567
4,9,67,50,0,117,0.573,0.13875316894302567
4,10,67,50,0,117,0.573,0.13875316894302567
4,11,64,53,0,117,0.547,0.3552796816522475
4,12,62,53,2,115,0.539,0.45581402955519146
4,13,62,53,2,115,0.539,0.45581402955519146
4,14,62,54,1,116,0.534,0.5159130749957945
4,15,62,55,0,117,0.53,0.5792902501877029
4,16,62,55,0,117,0.53,0.5792902501877029
4,17,60,57,0,117,0.513,0.8534084458955625
4,18,60,57,0,117,0.513,0.8534084458955625
4,19,61,56,0,117,0.521,0.7117032769279406
4,20,60,56,1,116,0.517,0.7807391284762681
4,21,61,54,2,115,0.53,0.5760121204363976
4,22,60,57,0,117,0.513,0.8534084458955625
4,23,61,56,0,117,0.521,0.7117032769279406
4,24,61,56,0,117,0.521,0.7117032769279406
4,25,59,58,0,117,0.504,1.0
4,26,57,60,0,117,0.487,0.8534084458955625
4,27,56,61,0,117,0.479,0.7117032769279406
4,28,56,61,0,117,0.479,0.7117032769279406
4,29,56,61,0,117,0.479,0.7117032769279406
4,30,58,58,1,116,0.5,1.0
4,31,58,59,0,117,0.496,1.0
4,32,57,60,0,117,0.487,0.8534084458955625
4,33,57,60,0,117,0.487,0.8534084458955625
4,34,56,61,0,117,0.479,0.7117032769279406
4,35,56,61,0,117,0.479,0.7117032769279406
4,36,56,61,0,117,0.479,0.7117032769279406
4,37,55,62,0,117,0.47,0.5792902501877029
4,38,55,61,1,116,0.474,0.6426674253796113
5,1,51,65,1,116,0.44,0.22727494633160858
5,2,52,64,1,116,0.448,0.30708966364918366
5,3,52,65,0,117,0.444,0.26718230499039597
5,4,52,65,0,117,0.444,0.26718230499039597
5,5,52,65,0,117,0.444,0.26718230499039597
5,6,52,65,0,117,0.444,0.26718230499039597
5,7,52,64,1,116,0.448,0.30708966364918366
5,8,52,65,0,117,0.444,0.26718230499039597
5,9,52,65,0,117,0.444,0.26718230499039597
5,10,53,63,1,116,0.457,0.40346969965531143
5,11,54,62,1,116,0.466,0.5159130749957945
5,12,58,59,0,117,0.496,1.0
5,13,59,57,1,116,0.509,0.9260777633148565
5,14,61,56,0,117,0.521,0.7117032769279406
5,15,61,56,0,117,0.521,0.7117032769279406
5,16,61,56,0,117,0.521,0.7117032769279406
5,17,61,56,0,117,0.521,0.7117032769279406
5,18,62,55,0,117,0.53,0.5792902501877029
5,19,61,55,1,116,0.526,0.6426674253796113
5,20,61,56,0,117,0.521,0.7117032769279406
5,21,60,56,1,116,0.517,0.7807391284762681
5,22,58,58,1,116,0.5,1.0
5,23,58,59,0,117,0.496,1.0
5,24,58,59,0,117,0.496,1.0
5,25,58,59,0,117,0.496,1.0
5,26,58,59,0,117,0.496,1.0
5,27,58,59,0,117,0.496,1.0
5,28,58,59,0,117,0.496,1.0
5,29,58,59,0,117,0.496,1.0
5,30,59,58,0,117,0.504,1.0
5,31,58,58,1,116,0.5,1.0
5,32,59,58,0,117,0.504,1.0
5,33,58,59,0,117,0.496,1.0
5,34,57,60,0,117,0.487,0.8534084458955625
5,35,57,60,0,117,0.487,0.8534084458955625
5,36,57,60,0,117,0.487,0.8534084458955625
5,37,55,62,0,117,0.47,0.5792902501877029
5,38,56,61,0,117,0.479,0.7117032769279406
5,39,59,58,0,117,0.504,1.0
5,40,58,58,1,116,0.5,1.0
5,41,58,59,0,117,0.496,1.0
5,42,60,57,0,117,0.513,0.8534084458955625
5,43,57,59,1,116,0.491,0.9260777633148565
5,44,57,60,0,117,0.487,0.8534084458955625
5,45,57,60,0,117,0.487,0.8534084458955625
5,46,57,60,0,117,0.487,0.8534084458955625
5,47,56,61,0,117,0.479,0.7117032769279406
5,48,54,63,0,117,0.462,0.45969138732555354
5,49,52,65,0,117,0.444,0.26718230499039597
5,50,52,65,0,117,0.444,0.26718230499039597
